SHA,start_date,end_date
8f47b13c967dc9a6567d19898da09733ff2c084ebfdb428d65bf8a8899d692dc,2022-03-23,2022-06-21
9d42dffe6f19328bcd8188abbf84685b7579e5cd58850d72e4e715bee04a1a65,2022-02-24,2022-05-25
241fa655c0ff1e9442696921fb20d965f9bc3f3c2a44dc135adf02c064ed07a6,2022-02-24,2022-05-25
7c96f0801d3489e3691d8e1f7e4b9b22a4476c5cc7667773e62c1f6f86871018,2022-03-19,2022-06-17
071fc7fdad5726c485ebf2095119019d96c59e9c36893b05168e593338429a07,2022-01-30,2022-04-30
9e6d1fd83c478e0eb81bd2c4f3de86475ee148c4fe76cdc3100ceaffdec6fde6,2022-03-19,2022-06-17
bd979042de00b64bbb7cd7fc6daecd5ddf7d7fb312ef0df20ca0e127fde5a768,2022-03-22,2022-06-20
0649a042dfc2f7b21fa44f7d598c21dc83c5fc6c2bdb78727067a34e6996cb6f,2022-01-13,2022-04-13
f20fa1f563e25984386aa256d7a7fd4d86ee1e516d5b508b7d5314910ad8aefb,2022-01-21,2022-04-21
578c64b4e83a4513bf3a7fbf263a3f40a373227660d649f065722d63ecadcf3d,2022-01-18,2022-04-18
24723214be1ab92ce54e6ae85c4a7ef7c3a881c3ee1485344b0b2254b7b40b37,2022-01-29,2022-04-29
2822fa5f748bd1a4d4af437a0dd8b317135b4e123f06884f96582f470169c23d,2022-03-23,2022-06-21
fce70b59e17a12ac5f9aaf58fc2433a808d5069ba34fe3a3772ff6292f8a26da,2022-01-21,2022-04-21
1c931da2bdd17afc4d2a28f92fc09723616eae87b447425de64db7efd5920951,2022-01-31,2022-05-01
1f40520cc9714bb956f901941a14494216a0ce3bbfb94e33aeeca3d40ecec85d,2022-02-23,2022-05-24
f2875de430338d0cca1337d5a6dd9c480bff893248005c92b5377d09e0db3527,2022-01-18,2022-04-18
d1bab10621811e4762ec2914e0967db4095980fb56846b92607a472c7e567621,2022-02-24,2022-05-25
9c010ab07fc98b68618108097337e26a336a2990096af937de671eb35852f79a,2022-03-19,2022-06-17
29d44688aae8bfd41a9c1f0b4bbf60e6532d4c9ab4bb2f486900d92d5e197430,2022-01-18,2022-04-18
a1816c4ae7b4129add855b31a61534056c4ecf7d3a52997aaba2c799d7766b46,2022-01-30,2022-04-30
ff3a96f345c331341ad6318379d34b681c4005204b4ed16bab7ce2197d5ac77b,2022-03-19,2022-06-17
6a730a777ab10a1571125a853461708d9140f2696cb0ad2bde47020c0f507237,2021-12-26,2022-03-26
07e1ab68f34092c2444c44df77fc7dd5889bd874e14584a63bec21465a7f8457,2022-03-19,2022-06-17
c79fac2fc398273381067bf5617a094d6819731f7ae7bf86ff904eb929dea4f9,2022-01-30,2022-04-30
40e26db735e301cdd71c88729bb6b756919d7343bcd8dd804473da00234face9,2022-01-04,2023-02-01
dd4b9c418cf29efac95683808fa78840cff7166a304664e7a51fd8ba6f9749d5,2022-03-19,2022-06-17
a3fcbcbb4fdc40cae63a2e0aea6fdbef0ce0a00478c9899b742a022581638fe1,2022-01-30,2022-04-30
8f649f4a3b08adc349f404a57e23c82aade6069e4241f4dc7e20ed1aff9f58f8,2022-02-24,2022-05-25
9772b4b591ca7de7caf32c89de2399e3a33e9eca91bfa638957ce45131055175,2022-01-29,2022-04-29
3f3f89f528411e6edf4b5c4e93a5d8dbb4ac8c01e503a48d8dc57e37bc5132c3,2022-01-18,2022-04-18
f0683eead2f072aa5e9a98888f45f6704505e550c9694751685babbe0fdd3369,2022-03-19,2022-06-17
d0a91613728dbf14d5c1cbfd0bb9541b904a22936ce3e21fb831fc16a9936e3e,2022-01-22,2022-04-22
26c22952adc72ba09d4ec11f199c5cb75477604f665368eedf2d7e763cda9d15,2021-12-25,2022-03-25
65073d0eba57320dcf88396bb30180020b8ced2defc687a0ed750a01d44198ff,2022-01-29,2022-04-29
b9120fc1eddf9fcf4280dde202ee5de79ab5577190a974f0c0d5e04e67a21b31,2022-01-18,2022-04-18
0331708cdcda5b7738af6dc8bcbb9d48090635e46c56a5a4ed6b14c8150aea9c,2022-01-18,2022-04-18
720db1df6c75b8e9ed64c8090cdbaef938a82c5c05186b4efee12e9571c19c2c,2022-03-19,2022-06-17
aa1715750bd2aa5271e4422311ecc4098a3429ceecb5107cf07c281fa1c803a7,2022-01-30,2022-04-30
25346de8d43bf7c202adb832a8e772be5741d71898795ccff8ae0d70154de717,2022-01-29,2022-04-29
ae5e58b93bf696df1c579213ea049ab3d29798419e86237be11fa577ce850c2d,2021-12-25,2022-03-25
d760cc16c58def59fd477c3c9e006d82c789de71e36504b004376822805732c5,2022-01-18,2022-04-18
43d5357195537564ec32aaedeefc4f777d66efb2b86d8e83cc19fcaa2eddd318,2022-01-30,2022-04-30
a4ffb2616b3bd5ef367470813b6c02dd0ffeaedc35a90552d9ea5a17671716c9,2021-12-25,2022-03-25
c7679f48814f50f552fc7d2d0312007372d0dffc9bbfb7729be88273b5cbbd91,2022-03-19,2022-06-17
086ff51860662fba2288d33a627cb74d1f1cce3cd970089da4a334839649fd4b,2022-01-18,2022-04-18
973b81b4a9e074272a01e576cbede3871f330b3baa68b492dbd6bd1a5a47a517,2022-03-19,2022-06-17
